blockgr10,rs,sfpar,mfpar,cdpar,aptpar,othpar,alsales,sfsales,mfsales,cdsales,f,f_bor,f_tax,f_mort,gt1_alsales,gt1_sfsales,gt1_mfsales,gt1_cdsales,cntynme10,area10,demo,mf_s8prop,assisted_units_count,property_total_unit_count,pop,vac_hunit,rent_hunit,com_area,rvac_area,pv,n_sales_17,med_sfarea17,med_sfprice17,med_sfprice_per_sqft17,n_sales_18,med_sfarea18,med_sfprice18,med_sfprice_per_sqft18,n_sales_19,med_sfarea19,med_sfprice19,med_sfprice_per_sqft19,med_alsales,med_sfsales,med_mfsales,med_cdsales,med_alpricesft,med_sfpricesft,med_mfpricesft,med_cdpricesft,std_alpricesft,std_sfpricesft,std_mfpricesft,std_cdpricesft,_gt1_alsales,_gt1_sfsales,_gt1_mfsales,_gt1_cdsales,_mf_s8prop,_com_area,_rvac_area,_pv
390351197022,196,69.333333333,126.33333333,0,0,1,57,12,45,0,25,8,13,4,40,9,31,0,Cuyahoga,0.0657813859,35,0,0,0,658,213,201,0.004159672,0.0060093119,14,4,1105.5,24000,19.419512195,2,920,37500,40.760869565,6,1320,14625,11.424512987,1.425,1.3333333333,1.4516129032,,14.272970562,14.109848485,14.272970562,,10.965231001,14.262556376,9.7283022633,,20.41,4.59,15.82,0,0,6.32,9.14,7.14
390351197023,123.33333333,43.333333333,80,0,0,0,33,8,25,0,22,9,8,5,26,8,18,0,Cuyahoga,0.042889774,11,0,0,0,303,93,30,0.0012052342,0.0031097552,16,1,630,13100,20.793650794,4,1232,22425,15.744554924,3,1056,13300,12.59469697,1.2692307692,1,1.3888888889,,16.041666667,15.744554924,18.918918919,,9.6337173338,12.102470137,8.9891873731,,21.08,6.49,14.59,0,0,2.81,7.25,12.97
390351198001,219,170,49,0,0,0,40,35,5,0,23,7,12,4,32,28,4,0,Cuyahoga,0.0914270645,19,0,0,0,499,124,78,0.0092718736,0.0035516385,65,9,1255,18000,15.544041451,9,1204,15000,9.900990099,17,1384,25000,18.063583815,1.25,1.25,1.25,,15.797594498,17.383403998,15.714971209,,10.693795083,11.189258981,6.6364006356,,14.61,12.79,1.83,0,0,10.14,3.88,29.68
390351198002,132,65.666666667,66,0,0,1,35,17,18,0,17,5,11,1,28,15,13,0,Cuyahoga,0.042746144,17,0,0,0,349,103,95,0.002831009,0.0045368457,43,7,1200,21750,18.308080808,7,1248,24100,21.066433566,3,1200,22600,21.856866538,1.25,1.1333333333,1.3846153846,,15.432098765,20.32967033,13.218453832,,13.17265922,15.622016462,8.8364277369,,21.21,11.36,9.85,0,0,6.62,10.61,32.58
390351198003,158.33333333,101.33333333,56,0,0,1.5,38,18,20,0,28,12,11,5,30,18,12,0,Cuyahoga,0.0703095922,23,0,0,0,542,90,140,0.0133468563,0.01020098,58,7,1200,23500,19.583333333,3,1172,19750,12.858072917,8,1219,26500,21.338383838,1.2666666667,1,1.6666666667,,17.828394937,18.630050505,17.73126984,,16.618015282,21.480469912,10.480790232,,18.95,11.37,7.58,0,0,18.98,14.51,36.63
390351198004,131.66666667,83.666666667,48,0,0,0,23,10,13,0,20,7,8,5,17,9,8,0,Cuyahoga,0.0523774628,14,0,0,0,160,121,46,0.0086308396,0.0040515955,55,5,1675,9000,5.3731343284,2,1340.5,71750,52.798952255,3,1044,6500,7.7751196172,1.3529411765,1.1111111111,1.625,,9.2307692308,13.733348658,9.2307692308,,16.346385938,22.152925223,8.6012320586,,12.91,6.84,6.08,0,0,16.48,7.74,41.77
390351198005,150,88.333333333,61.666666667,0,0,0,24,8,16,0,25,11,10,4,18,8,10,0,Cuyahoga,0.0510531323,19,0,0,0,558,94,159,0.0019518337,0.0067261392,61,4,1444,22960,16.546934866,3,1296,21500,13.44590369,1,1536,27800,18.098958333,1.3333333333,1,1.6,,12.877912019,15.772431012,12.228818288,,9.953698554,14.511729921,6.5817399615,,12,5.33,6.67,0,0,3.82,13.17,40.67
390351198006,206,114.33333333,90.666666667,0,0,1.5,42,18,24,0,44,17,17,10,32,16,16,0,Cuyahoga,0.0815223854,34,0,0,0,520,145,162,0.0016872202,0.0132465636,79,3,962,32600,30.871212121,7,1256,22100,17.335766423,8,1252,26050,22.979705668,1.3125,1.125,1.5,,17.255846175,22.979705668,16.856520841,,15.568182305,18.829419379,11.314682399,,15.53,7.77,7.77,0,0,2.07,16.25,38.35
390351199001,278,166.33333333,111.66666667,0,0,0,69,36,33,0,34,12,14,8,48,27,21,0,Cuyahoga,0.1056105279,21,0,0,0,801,224,207,0.0171684171,0.006923317,72,14,1138,22500,20.893283635,9,1224,30000,19.543973941,13,1168,28000,19.95254833,1.4375,1.3333333333,1.5714285714,,19.545454545,19.748261136,19.545454545,,13.627811774,16.295528933,9.2484188095,,17.27,9.71,7.55,0,0,16.26,6.56,25.9
390351199002,266.66666667,152,113.33333333,0,0,1.3333333333,53,21,32,0,26,9,11,6,42,17,25,0,Cuyahoga,0.1183723631,31,0,0,0,927,411,420,0.021285619,0.0098701862,36,9,1152,16000,11.782032401,5,1092,24000,24.291497976,7,1164,36800,30.41322314,1.2619047619,1.2352941176,1.28,,14.491525424,22.222222222,14.475083492,,15.101935443,20.58953705,8.2268838395,,15.75,6.38,9.38,0,0,17.98,8.34,13.5
